Tilinumero Oulu,Tilinumero JHS 
3318,35
3330,35
3530,35
3491,35
3290,35
3501,35
4802,35
4803,43
4393,43
4344,43
4616,45
7750,61
6310,61
1000,1000
1010,1010
1740,1020
1739,1020
1100,1100
1130,1100
1102,1102
1285,1102
1250,1102
1104,1104
1140,1130
1150,1130
1163,1170
1160,1170
1184,1184
1195,1195
1191,1195
1500,1500
1763,1688
2250,2325
2330,2325
2780,2580
3510,3005
4339,3005
4830,3005
3083,3005
2992,3005
3060,3005
3070,3005
3080,3005
3015,3005
3010,3005
3135,3005
3108,3295
3270,3295
3140,3295
4462,3295
4719,3534
5000,3534
5010,3534
3310,3534
5040,3534
4739,3534
4749,3534
4728,3534
4715,3534
4717,3534
3333,3534
5020,3534
4001,4000
4000,4000
4076,4000
4038,4060
4090,4060
4009,4065
4085,4065
4149,4065
1744,4065
1783,4065
4068,4130
4061,4135
4062,4135
4070,4190
4180,4200
4421,4210
2835,4210
2837,4210
2836,4210
2831,4210
2830,4210
4054,4210
2832,4210
4053,4210
2833,4210
2841,4210
4112,4210
4745,4210
2827,4210
2818,4210
4151,4210
2811,4210
2815,4210
2828,4210
2816,4210
4160,4210
2814,4210
4260,4265
4320,4330
4330,4330
4310,4330
4300,4330
4312,4330
4341,4340
4342,4340
4340,4340
4423,4340
2843,4340
5280,4342
4841,4342
4363,4342
4842,4342
4362,4342
4361,4342
4427,4342
1005,4342
4352,4350
4351,4350
4360,4360
4373,4370
4406,4370
4120,4370
4170,4370
4372,4370
4405,4370
4381,4380
4382,4380
4409,4380
4380,4380
43809,4380
4392,4390
4411,4390
4391,4390
4401,4400
4394,4400
4410,4410
4414,4410
4419,4420
2626,4420
4420,4420
4413,4420
4430,4420
4431,4430
4432,4430
4415,4430
2621,4430
4416,4440
4440,4440
4460,4470
4422,4470
4441,4470
4080,4470
4402,4470
4490,4480
4500,4500
4510,4510
4521,4520
5410,4520
4520,4520
4603,4530
4530,4530
4541,4533
4542,4536
4550,4550
4560,4560
4570,4568
4610,4568
4571,4569
4573,4569
4572,4570
4651,4580
4614,4580
4595,4580
4601,4580
4602,4580
4591,4580
4580,4580
1170,4580
4590,4590
4592,4600
4730,4730
2648,4739
4700,4739
4740,4742
2579,4901
5520,4910
5655,4910
5530,4910
4900,4910
4910,4910
5220,4940
3410,4940
4412,4940
5400,4940
3315,4940
4343,4940
4981,4940
4551,4940
5300,4940
5250,4940
4840,4940
3450,4940
1790,4940
5260,4940
5210,4940
4605,4940
4800,4940
5200,4940
2994,4940
2625,4940
2993,4940
2551,4940
1796,4940
5440,4940
4450,4940
4449,4940
3420,4940
4331,4940
4600,4940
4649,4940
4131,4940
1187,4940
8071,4940
7610,4940
3099,4940
4049,4940
4980,4940
7710,4940
6380,4940
5230,4940
4371,4940
5820,4940
4408,4940
4860,4940
3460,4940
3287,4940
5600,4940
2907,4940
2986,4940
3540,4940
4820,4940
4447,4940
3050,4940
2623,4940
2565,4940
2222,4940
4911,5100
3275,5701
7310,6050
7390,6100
7760,6130
6130,6130
6320,6130
6240,6380
7540,6380
8150,8150
