Tilinumero Vantaa,Tilinumero JHS 
458073,11
474030,33
447051,43
439064,43
447084,43
458072,43
486080,43
434003,43
434005,43
439053,43
439052,43
439055,43
439054,43
474010,43
441085,43
635090,43
447087,43
447055,43
439051,43
436025,43
440073,43
436027,43
450081,45
450090,45
455031,45
459071,45
459002,45
467001,45
474040,47
614000,60
616010,60
621000,62
603000,62
625000,62
610000,62
438046,3005
613050,3295
474050,3534
447054,4000
434011,4210
430037,4330
430041,4330
430050,4330
430030,4330
430040,4330
430010,4330
434004,4340
435014,4340
435015,4340
474020,4340
434001,4340
434007,4340
434006,4340
447085,4340
436026,4342
440072,4342
458062,4342
486060,4342
458068,4342
434002,4342
450030,4342
436028,4342
436024,4342
436022,4342
486050,4342
436023,4342
635000,4344
436030,4344
434008,4346
435012,4350
435013,4350
435011,4350
436021,4360
442092,4370
437031,4370
438045,4380
438041,4380
447083,4380
439063,4390
459073,4390
439061,4390
440071,4400
439062,4400
441084,4410
447082,4410
444025,4410
441086,4410
441087,4410
442107,4420
430020,4420
486040,4420
442100,4420
442106,4420
442093,4420
439065,4420
442094,4420
442103,4420
442098,4420
442099,4420
442105,4420
442104,4420
442101,4420
442096,4420
442102,4420
442097,4420
443021,4430
443016,4430
443018,4430
443020,4430
473001,4430
430046,4430
443013,4430
458064,4430
430047,4430
443019,4430
443015,4430
443014,4430
443010,4430
444021,4440
444022,4440
444024,4440
446000,4460
447053,4470
458069,4470
458052,4500
458051,4500
450040,4500
450050,4500
450020,4500
450080,4500
458067,4500
451007,4500
451008,4500
450060,4500
450010,4500
459072,4500
458061,4500
451009,4500
451005,4510
451006,4510
452000,4520
453001,4530
453002,4530
453000,4530
454021,4533
458063,4536
454023,4536
455032,4536
454022,4536
456000,4560
457255,4569
457100,4569
457254,4569
457251,4569
457300,4570
450070,4600
460089,4600
460090,4600
458074,4600
473011,4730
473014,4730
473010,4730
473012,4730
444026,4730
473013,4730
472002,4739
470000,4739
473002,4739
444027,4739
471000,4739
430060,4739
472001,4739
442095,4739
473006,4739
472006,4739
473007,4739
472502,4739
472504,4739
472503,4739
472505,4739
490040,4910
490010,4910
442091,4910
482005,4940
458065,4940
467011,4940
495071,4940
460092,4940
499100,4940
438043,4940
484000,4940
447052,4940
447086,4940
458066,4940
438042,4940
439058,4940
493083,4940
493080,4940
458070,4940
480000,4940
439057,4940
460091,4940
460081,4940
495070,4940
486070,4940
435016,4940
459900,4940
430023,4940
467002,4940
613030,4940
482000,4940
465000,4940
474035,4940
473005,4940
491010,5100
430022,5850
600700,6050
631000,6120
613020,6130
613010,6130
632000,6130
617000,6170
638000,6380
495060,8120
